Date,Ticker,MKTTREND,SMA,MACD,BOL,RSI,OBV,MYTREND1,MYTREND2,MYTREND3
2021-08-12,ABT,UP,BUY,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2021-08-13,ABT,UP,BUY,SELL,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-08-16,ABT,UP,BUY,BUY,SELL,SELL,BUY,SELL,SELL,BUY
2021-08-17,ABT,UP,BUY,BUY,SELL,SELL,BUY,SELL,SELL,BUY
2021-08-18,ABT,UP,BUY,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-08-19,ABT,UP,BUY,BUY,SELL,HOLD,BUY,SELL,HOLD,BUY
2021-08-20,ABT,UP,BUY,BUY,SELL,SELL,BUY,SELL,SELL,BUY
2021-08-23,ABT,UP,BUY,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-08-24,ABT,UP,BUY,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-08-25,ABT,UP,BUY,SELL,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-08-26,ABT,UP,BUY,SELL,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-08-27,ABT,UP,BUY,SELL,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-08-30,ABT,UP,BUY,SELL,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-08-31,ABT,UP,BUY,SELL,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-09-01,ABT,UP,BUY,SELL,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-09-02,ABT,UP,BUY,BUY,SELL,SELL,BUY,SELL,SELL,BUY
2021-09-03,ABT,UP,BUY,BUY,SELL,SELL,BUY,SELL,SELL,BUY
2021-09-07,ABT,UP,BUY,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-09-08,ABT,UP,BUY,BUY,HOLD,SELL,BUY,HOLD,SELL,BUY
2021-09-09,ABT,UP,BUY,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-09-10,ABT,UP,BUY,BUY,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-09-13,ABT,UP,BUY,SELL,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-09-14,ABT,UP,BUY,SELL,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-09-15,ABT,UP,BUY,SELL,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-09-16,ABT,UP,BUY,SELL,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-09-17,ABT,UP,BUY,SELL,HOLD,HOLD,BUY,HOLD,HOLD,BUY
2021-09-20,ABT,UP,BUY,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2021-09-21,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2021-09-22,ABT,UP,BUY,SELL,HOLD,HOLD,SELL,HOLD,HOLD,SELL
2021-09-23,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2021-09-24,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2021-09-27,ABT,NEUTRAL,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2021-09-28,ABT,NEUTRAL,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2021-09-29,ABT,NEUTRAL,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2021-09-30,ABT,NEUTRAL,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2021-10-01,ABT,NEUTRAL,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2021-10-04,ABT,NEUTRAL,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2021-10-05,ABT,NEUTRAL,BUY,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2021-10-06,ABT,NEUTRAL,BUY,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2021-10-07,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2021-10-08,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2021-10-11,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2021-10-12,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2021-10-13,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2021-10-14,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2021-10-15,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2021-10-18,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2021-10-19,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2021-10-20,ABT,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2021-10-21,ABT,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2021-10-22,ABT,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2021-10-25,ABT,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2021-10-26,ABT,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2021-10-27,ABT,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2021-10-28,ABT,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2021-10-29,ABT,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2021-11-01,ABT,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2021-11-02,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2021-11-03,ABT,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2021-11-04,ABT,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2021-11-05,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2021-11-08,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2021-11-09,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2021-11-10,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2021-11-11,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2021-11-12,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2021-11-15,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2021-11-16,ABT,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2021-11-17,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2021-11-18,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2021-11-19,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2021-11-22,ABT,NEUTRAL,BUY,SELL,BUY,HOLD,HOLD,SELL,SELL,SELL
2021-11-23,ABT,NEUTRAL,BUY,SELL,BUY,HOLD,SELL,SELL,SELL,SELL
2021-11-24,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2021-11-26,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2021-11-29,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2021-11-30,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2021-12-01,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2021-12-02,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2021-12-03,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2021-12-06,ABT,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2021-12-07,ABT,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2021-12-08,ABT,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2021-12-09,ABT,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2021-12-10,ABT,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2021-12-13,ABT,NEUTRAL,BUY,BUY,SELL,SELL,BUY,BUY,BUY,BUY
2021-12-14,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2021-12-15,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2021-12-16,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2021-12-17,ABT,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2021-12-20,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2021-12-21,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2021-12-22,ABT,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2021-12-23,ABT,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2021-12-27,ABT,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2021-12-28,ABT,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2021-12-29,ABT,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2021-12-30,ABT,NEUTRAL,BUY,BUY,HOLD,SELL,BUY,BUY,BUY,BUY
2021-12-31,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2022-01-03,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,BUY,BUY,BUY,BUY
2022-01-04,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,BUY,SELL,SELL,SELL
2022-01-05,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2022-01-06,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,SELL
2022-01-07,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2022-01-10,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2022-01-11,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2022-01-12,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2022-01-13,ABT,NEUTRAL,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2022-01-14,ABT,NEUTRAL,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2022-01-18,ABT,NEUTRAL,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2022-01-19,ABT,NEUTRAL,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2022-01-20,ABT,NEUTRAL,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL
2022-01-21,ABT,NEUTRAL,BUY,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2022-01-24,ABT,NEUTRAL,BUY,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2022-01-25,ABT,NEUTRAL,BUY,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2022-01-26,ABT,NEUTRAL,BUY,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2022-01-27,ABT,NEUTRAL,BUY,SELL,HOLD,BUY,SELL,SELL,SELL,SELL
2022-01-28,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2022-01-31,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2022-02-01,ABT,NEUTRAL,BUY,SELL,HOLD,HOLD,SELL,SELL,SELL,SELL
2022-02-02,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2022-02-03,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2022-02-04,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
2022-02-07,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,SELL,BUY,BUY,BUY
2022-02-08,ABT,NEUTRAL,BUY,BUY,HOLD,HOLD,HOLD,BUY,BUY,BUY
